src_name,n_transcripts,from_date,to_date
farming life,983,2012-01-04 00:00:00,2012-07-04 00:00:00
farming uk,3382,2012-01-01 12:14:00,2014-12-11 00:00:00
food navigator,3395,2012-01-02 14:41:00,2015-02-04 00:00:00
food quality news,1612,2012-01-02 00:00:00,2015-02-03 00:00:00
fruit net (uk and germany),1576,2012-01-03 00:13:00,2012-10-24 08:21:00
gazette and herald,7376,2012-01-03 12:40:00,2014-05-23 00:00:00
gazette live,12090,2010-04-10 00:00:00,2013-04-29 00:00:00
glasgow evening times,4013,2011-12-30 00:00:00,2013-06-27 00:00:00
glaxosmithkline,121,2012-01-09 00:00:00,2014-07-24 00:00:00
global witness,440,2010-06-25 00:00:00,2014-03-10 00:00:00
gloucestershire county gazette,655,2012-01-01 00:00:00,2013-02-03 00:00:00
grantham today,3049,2012-01-01 07:46:00,2013-06-18 00:00:00
grimsby telegraph,3332,2012-01-01 00:00:00,2013-08-31 00:00:00
guardian local,2860,2010-03-26 00:00:00,2014-01-10 00:00:00
guardian series,5601,2011-12-31 14:56:00,2014-08-25 00:00:00
hackney gazette,997,2012-01-02 13:20:00,2013-01-14 08:26:00
hampshire chronicle,3635,2012-01-01 04:28:00,2014-07-08 00:00:00
hampstead and highgate express,750,2012-01-03 00:00:00,2015-02-04 00:00:00
harborough mail,1639,2012-01-02 04:33:00,2013-08-01 00:00:00
haringey independent,2970,2012-01-01 00:00:00,2012-08-31 00:00:00
harlow citizen and guardian,3006,2012-01-04 13:51:00,2014-08-25 00:00:00
harrow times,5262,2010-01-04 00:00:00,2014-07-08 00:00:00
hartle pool mail,18306,2010-01-05 00:00:00,2013-05-21 00:00:00
health protection agency,78,2012-01-05 05:29:00,2013-03-28 00:00:00
hemel hempstead today,3693,2012-01-01 00:00:00,2013-06-19 00:00:00
"hendon and finchley, barnet and potters bar, and edgeware and mills hill times",3115,2010-01-06 00:00:00,2014-05-23 00:00:00
herald scotland breaking news,22100,2011-12-31 00:00:00,2015-02-04 00:00:00
herts and essex observer,3302,2012-01-02 00:00:00,2014-07-08 00:00:00
hexham courant,1259,2012-01-02 00:00:00,2015-02-03 00:00:00
highland news,1054,2012-01-02 00:00:00,2014-05-22 00:00:00
hillingdon and uxbridge times,90,2012-01-03 00:00:00,2012-02-22 00:00:00
horncastle news,1231,2010-07-07 00:00:00,2013-08-30 00:00:00
horticulture week,1281,2012-01-03 00:00:00,2012-10-23 00:00:00
hucknall dispatch,1712,2012-01-01 05:05:00,2013-08-31 00:00:00
hull daily mail,18491,2012-01-02 00:00:00,2013-08-30 00:00:00
hunts post,2484,2011-12-30 00:00:00,2014-11-25 00:00:00
iain dale and co. blog,563,2012-02-08 00:00:00,2014-07-07 00:00:00
ic newcastle,1989,2011-12-27 10:55:00,2013-02-12 00:00:00
iif,10,2010-01-07 05:44:00,2010-09-27 19:56:00
ilford recorder,2092,2010-01-01 21:18:00,2014-10-27 00:00:00
ilkeston advertiser,2619,2011-12-05 00:00:00,2013-08-31 00:00:00
ilkley gazette,2206,2012-01-01 00:00:00,2012-08-31 00:00:00
impartial reporter,1981,2011-12-29 06:56:00,2013-01-09 00:00:00
in the news,692,2012-01-01 00:00:00,2012-12-11 00:00:00
inspire magazine,453,2011-12-10 00:00:00,2012-05-01 22:02:00
insurance insight,1565,2012-03-30 00:00:00,2013-12-09 00:00:00
international business times,8819,2012-01-01 00:00:00,2012-04-25 00:00:00
international business times uk,37441,2012-04-24 00:00:00,2015-02-04 00:00:00
