OutletID,Outlet,Type,JournalistID,Twitter Handle,Journalist,Website,Owner,Nexis,NexisBeginning,NexisEnd,Newsbank,NewsbankBeginning,NewsbankEnd,Type,Publication,Category,City,Notes
1300,"Daily Mail, The",Journalist,1305,@crimereporter,Chris Greenwood,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Crime Correspondent
1300,"Daily Mail, The",Journalist,1306,@RE_DailyMail,Rebecca English,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Royal Correspondent
1300,"Daily Mail, The",Journalist,1307,,Craig Brown,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1308,,Stephen Glover,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1309,@dmeffy,Ephraim Hardcastle,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1310,,Dominic Lawson,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1311,,Quentin Letts,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1312,@Littlejohnycmiu,Richard Littlejohn,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1313,@MSamuelDT,Martin Samuel,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1314,,Tom Utley,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1315,@SarahVine,Sarah Vine,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Daily Mail, The",Journalist,1316,@chalkmark,Richard Gray,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1317,@baishali_adak,Baishali Adak,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1318,@guyadams,Guy Adams,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1319,@willyleeadams,William Lee Adams,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1320,@Sn3haAgrawal,Sneha Agrawal,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1321,@SarahBridge100,Sarah Bridge,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Journalist (MailOnline)
1300,"Daily Mail, The",Journalist,1322,@DMDacre,Paul Dacre,http://www.dailymail.co.uk/home/index.html,DMGT,,,,,,,,,,,Editor
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3101,@DRoseMoS,David Rose,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Deputy News Editor
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3102,@martinbeckford,Martin Beckford,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Home Affairs Editor
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3103,@DPJHodges,Dan Hodges,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Political Commentator
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3104,@neilcraven1,Neil Craven,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Business Reporter
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3105,@OllieHolt22,Oliver Holt,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Chief Sports Writer
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3106,@toryboypierce,Andrew Pierce,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3107,,Peter Hitchens,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3108,,Rachel Johnson,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Mail on Sunday, The and The Mail on Sunday Scotland",Journalist,3109,,Liz Jones,http://www.dailymail.co.uk/mailonsunday/index.html,DMGT,,,,,,,,,,,Columnist
1300,"Scottish Daily Mail, The",Newspaper,4100,@MailOnline,,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,National – Mid Market ,,Scotland ,,
1300,"Scottish Daily Mail, The",Journalist,4101,@AlanRoden,Alan Roden,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Political Editor
1300,"Scottish Daily Mail, The",Journalist,4102,@GrahamGGrant,Graham Grant,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Home Affairs Editor and Columnist
1300,"Scottish Daily Mail, The",Journalist,4103,@emmacowing,Emma Cowing,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Features Editor
1300,"Scottish Daily Mail, The",Journalist,4104,@jonnythegreek,John Greechan,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Chief Sports Writer
1300,"Scottish Daily Mail, The",Journalist,4105,@chrisdeerin,Chris Deerin,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Leading Columnist
1300,"Scottish Daily Mail, The",Journalist,4106,@Gareth_Rose,Gareth Rose,http://www.dailymail.co.uk/travel/destinationshub/scotland.html,DMGT,,,,,,,,,,,Political Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Newspaper,1400,@DailyMirror,,http://www.mirror.co.uk/,Trinity Mirror plc,1,05/29/95,Current,1,07/01/92,Current,National Tabloid,Sunday Edition,Tabloid,,
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1401,@Kevin_Maguire,Kevin Maguire,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Associate Editor
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1402,@Grahamhiscott,Graham Hiscott,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Business Editor
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1403,@JBeattieMirror,Jason Beattie,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Political Editor
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1404,@andrewgregory,Andrew Gregory,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Health Editor
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1406,@defencechris,Chris Hughes,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Defence-Security Editor
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1407,@martinfricker,Martin Fricker,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Senior Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1408,@rjmyers,Russell Myers,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Senior Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1409,@thebedfordfox,Dave Yates,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1410,,Sam Adams,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1411,@kayeadams,Kaye Adams,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Columnist (Saturday Mirror)
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1412,@Winnosa,Winnie Agbonlahor,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Journalist (Saturday Mirror)
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1413,@nicola_agius,Nicola Agius,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,TV Reporter (Mirror Online)
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1414,@QueenVicMirror,Victoria Murphy,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Royal Correspondent
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1415,@Bondy81,Anthony Bond,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Reporter
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1416,@Vikki_Mirror,Vikki White,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,"Features Writer, also in Sunday People and Mirror"
1400,"Mirror, The (Daily Mirror and The Sunday Mirror and Scottish Daily Mirror)",Journalist,1417,@MirrorTom,Tom Bryant,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Head of Showbiz
1400,"Scottish Sunday Mirror, The",Newspaper,4500,@TheSundayMirror,,http://www.mirror.co.uk,Trinity Mirror plc,,,,,,,National Tabloid Scotland,Scotland Edition,Scotland Edition,,
1400,Sunday Mirror,Newspaper,5400,@TheSundayMirror,,http://www.mirror.co.uk/,Trinity Mirror plc,,,,1,07/01/92,Current,National Tabloid,Sunday,Tabloid,,
1400,Sunday Mirror,Journalist,5401,@storyforgrace,Grace Macaskill,http://www.mirror.co.uk/,Trinity Mirror plc,,,,,,,,,,,Northern Features Writer
1500,"Daily Record, The",Newspaper,1500,@Daily_Record,,http://www.dailyrecord.co.uk,Trinity Mirror plc,1,01/01/94,Current,1,01/01/94,Current,National Tabloid Scotland,,Scotland ,,
1500,"Daily Record, The",Journalist,1501,@iainpope73,Iain Pope,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Head of Digital News
1500,"Daily Record, The",Journalist,1502,@Torcuil,Torcuil Crichton,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Westminster Editor
1500,"Daily Record, The",Journalist,1503,@davieclegg,David Clegg,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Political Editor
1500,"Daily Record, The",Journalist,1504,@DarrenBSCooney,Darren Cooney,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Online Sports Editor
1500,"Daily Record, The",Journalist,1505,@andydphilip,Andy Philip,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Political Reporter
1500,"Daily Record, The",Journalist,1506,@pgohare,Paul O'Hare,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Crime Correspondent
1500,"Daily Record, The",Journalist,1507,@dmccarthyDR,David McCarthy,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Sports Writer
1500,Sunday Mail,Newspaper,5300,@Sunday_Mail,,http://www.dailyrecord.co.uk,Trinity Mirror plc,1,01/01/94,Current,,,,National Tabloid Scotland,,Scotland ,,Scottish Political Editor
1500,Sunday Mail,Journalist,5301,@brendanjmcginty,Brendan McGinty,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,News Editor
1500,Sunday Mail,Journalist,5302,@MarkAitken1,Mark Aitken,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Political Editor
1500,Sunday Mail,Journalist,5303,@Normansilvester,Norman Silvester,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,Crime Correpondent
1500,Sunday Mail,Journalist,5304,@ladymcbeth2,Marion Scott,http://www.dailyrecord.co.uk,Trinity Mirror plc,,,,,,,,,,,reporter
