Name,Twitter,hansard_member_id,hansard_member_name,Party,Constituency,2015MP,2010MP
Chloe Smith ,@NorwichChloe ,uk.m.24691,Chloe Smith,Conservative,Norwich North,1,
Chris Bryant ,@RhonddaBryant ,uk.m.10761,Chris Bryant,Labour,Rhondda,1,
Chris Evans ,@ChrisEvansMP ,uk.m.24721,Chris Evans,Labour Co-operative,Islwyn,1,
Chris Grayling ,@CommonsLeader,uk.m.10920,Chris Grayling,Conservative,Epsom and Ewell,1,
Chris Green ,@ChrisGreenMP ,.,.,Labour,Bolton West,1,
Chris Heaton-Harris ,@chhcalling ,uk.m.24841,Chris Heaton-Harris,Conservative,Daventry,1,
Chris Kelly,.,uk.m.24838,Chris Kelly,,,,1
Chris Law ,@ChrisLawSNP ,.,.,Labour,Dundee West,1,
Chris Leslie ,@ChrisLeslieMP ,uk.m.10354,Christopher Leslie,Labour Co-operative,Nottingham East,1,
Chris Matheson ,@ChrisM4Chester ,.,.,Conservative,City of Chester,1,
Chris Philp ,@chrisphilp_mp ,.,.,Conservative,Croydon South,1,
Chris Ruane,.,uk.m.10518,Chris Ruane,,,,
Chris Skidmore ,@cskidmoremp ,uk.m.24713,Chris Skidmore,Conservative,Kingswood,1,
Chris Stephens ,@ChrisStephens ,.,.,Labour Co-operative,Glasgow South West,1,
Chris White ,@ChrisWhite_MP ,uk.m.24959,Chris White,Conservative,Warwick and Leamington,1,
Chris Williamson,@ChriswMP,uk.m.24830,Chris Williamson,,,,
Christina Rees ,@Rees4Neath ,.,.,Labour,Neath,1,
Christopher Chope ,.,uk.m.10103,Christopher Chope,Conservative,Christchurch,1,
Christopher Davies ,@ChrisDavies_MP ,.,.,Liberal Democrats,Brecon and Radnorshire,1,
Christopher Pincher ,@ChrisPincher ,uk.m.24747,Christopher Pincher,Conservative,Tamworth,1,
Chuka Umunna ,@ChukaUmunna ,uk.m.24950,Chuka Umunna,Labour,Streatham,1,
Claire Perry ,@claire4devizes ,uk.m.24915,Claire Perry,Conservative,Devizes,1,
Clive Betts ,.,uk.m.10045,Clive Betts,Labour,Sheffield South East,1,
Clive Efford ,@CliveEfford ,uk.m.10185,Clive Efford,Labour,Eltham,1,
Clive Lewis ,@labourlewis ,.,.,Liberal Democrats,Norwich South,1,
Colleen Fletcher ,.,.,.,Labour,Coventry North East,1,
Conor Burns ,@conorburns_mp ,uk.m.24780,Conor Burns,Conservative,Bournemouth West,1,
Conor McGinn ,@ConorMcGinn ,.,.,Labour,St Helens North,1,
Corri Wilson ,@CorriWilsonSNP ,.,.,Labour,"Ayr, Carrick and Cumnock",1,
Craig Mackinlay ,@cmackinlay ,.,.,Conservative,South Thanet,1,
Craig Tracey ,@craig4nwarks ,.,.,Conservative,North Warwickshire,1,
Craig Whittaker ,@CWhittakerMP ,uk.m.24944,Craig Whittaker,Conservative,Calder Valley,1,
Craig Williams ,@Craig4CardiffN ,,,Conservative,Cardiff North,1,
Crispin Blunt ,@crispinbluntmp ,uk.m.10051,Crispin Blunt,Conservative,Reigate,1,
Dai Havard,.,uk.m.10944,Dai Havard,,,,1
Damian Collins ,@DamianCollins ,uk.m.24744,Damian Collins,Conservative,Folkestone and Hythe,1,
Damian Green ,@damiangreenmp ,uk.m.10241,Damian Green,Conservative,Ashford,1,
Damian Hinds ,@damian57 ,uk.m.24782,Damian Hinds,Conservative,East Hampshire,1,
Dan Byles,@danielbyles,uk.m.24849,Dan Byles,,,,1
Dan Jarvis ,@DanJarvisMP ,uk.m.25067,Dan Jarvis,Labour,Barnsley Central,1,
Daniel Kawczynski ,@KawczynskiMP ,uk.m.11817,Daniel Kawczynski,Conservative,Shrewsbury and Atcham,1,
Daniel Poulter ,@drdanpoulter ,uk.m.24756,Daniel Poulter,Conservative,Central Suffolk and North Ipswich,1,
Dave Watts,.,uk.m.10625,Dave Watts,,,,1
Daniel Zeichner ,@DanielZeichner ,.,.,Liberal Democrats,Cambridge,1,
Danny Kinahan ,@DdeBK ,.,.,DUP,South Antrim,1,
David Amess ,.,uk.m.10009,David Amess,Conservative,Southend West,1,
David Anderson ,@DaveAndersonMP ,uk.m.11427,David Anderson,Labour,Blaydon,1,
David Blunkett,.,uk.m.10050,David Blunkett,,,,1
David Burrowes ,@davidburrowesmp ,uk.m.11573,David Burrowes,Conservative,Enfield Southgate,1,
David Cairns,@davidcairns4mp,uk.m.10775,David Cairns,,,,1
David Cameron ,@David_Cameron ,uk.m.10777,David Cameron,Conservative,Witney,1,
David Crausby ,@DavidCrausby ,uk.m.10141,David Crausby,Labour,Bolton North East,1,
David Davies ,@DavidTCDavies ,uk.m.11719,David Davies,Conservative,Monmouth,1,
David Davis ,@DavidDavisMP ,uk.m.10162,David Davis,Conservative,Haltemprice and Howden,1,
David Evennett ,@DavidEvennett ,uk.m.11408,David Evennett,Conservative,Bexleyheath and Crayford,1,
David Gauke ,@DavidGauke ,uk.m.11633,David Gauke,Conservative,South West Hertfordshire,1,
David Hamilton,.,uk.m.10934,David Hamilton,,,,
David Hanson ,@DavidHansonMP ,uk.m.10259,David Hanson,Labour,Delyn,1,
David Heyes,.,uk.m.10961,David Heyes,,,,
David Jones ,@DavidJonesMP ,uk.m.11506,David Jones,Conservative,Clwyd West,1,
David Lammy ,@DavidLammy ,uk.m.10678,David Lammy,Labour,Tottenham,1,
David Lidington ,@DLidington ,uk.m.10361,David Lidington,Conservative,Aylesbury,1,
David Mackintosh ,@davidmackintosh ,.,.,Conservative,Northampton South,1,
David Miliband,@DMiliband,uk.m.11113,David Miliband,,,,1
David Morris ,@Davidmpmorris ,uk.m.24966,David Morris,Conservative,Morecambe and Lunesdale,1,
David Mowat ,@mowat4ws ,uk.m.24932,David Mowat,Conservative,Warrington South,1,
David Mundell ,@DavidMundellDCT ,uk.m.11970,David Mundell,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",1,
David Nuttall ,@DavidNuttallMP ,uk.m.24877,David Nuttall,Conservative,Bury North,1,
David Ruffley,.,uk.m.10520,David Ruffley,,,,1
David Rutley ,@DavidRutleyMP ,uk.m.24820,David Rutley,Conservative,Macclesfield,1,
David Simpson ,@DavidSimpsonDUP ,.,.,DUP,Upper Bann,1,
David Tredinnick ,.,uk.m.10602,David Tredinnick,Conservative,Bosworth,1,
David Willetts,.,uk.m.10637,David Willetts,,,,1
David Warburton ,@DJWarburton ,.,.,Liberal Democrats,Somerton and Frome,1,
David Winnick ,@WinnickWalsallN,uk.m.10645,David Winnick,Labour,Walsall North,1,
David Wright,.,uk.m.11340,David Wright,,,,1
Dawn Butler ,@DawnButlerBrent ,,,Liberal Democrats,Brent Central,1,
Dawn Primarolo,.,uk.m.10489,Dawn Primarolo,,,,1
Debbie Abrahams ,@Debbie_abrahams ,uk.m.25034,Debbie Abrahams,Labour,Oldham East and Saddleworth,1,
Deidre Brock ,@DeidreBrock ,.,.,Labour Co-operative,Edinburgh North and Leith,1,
Dennis Skinner ,.,uk.m.10544,Dennis Skinner,Labour,Bolsover,1,
Denis MacShane,@DenisMacShane,uk.m.10401,Denis MacShane,,,,1
Derek Thomas ,@DerekThomasMP ,.,.,Liberal Democrats,St Ives,1,
Derek Twigg ,@DerekTwiggMP ,uk.m.10610,Derek Twigg,Labour,Halton,1,
Desmond Swayne ,@DesmondSwayne ,uk.m.10580,Desmond Swayne,Conservative,New Forest West,1,
Diana Johnson ,@DianaJohnsonMP ,uk.m.11647,Diana Johnson,Labour,Kingston upon Hull North,1,
Diane Abbott ,@HackneyAbbott ,uk.m.10001,Diane Abbott,Labour,Hackney North and Stoke Newington,1,
Dominic Grieve ,.,uk.m.10243,Dominic Grieve,Conservative,Beaconsfield,1,
Dominic Raab ,.,uk.m.24815,Dominic Raab,Conservative,Esher and Walton,1,
Douglas Alexander,@D_G_Alexander,uk.m.10661,Douglas Alexander,,,,1
Douglas Carswell ,@DouglasCarswell ,uk.m.11621,Douglas Carswell,UKIP,Clacton,1,
Douglas Chapman ,@DougChapmanSNP ,.,.,Labour,Dunfermline and West Fife,1,
Drew Hendry ,@drewhendrySNP ,.,.,Liberal Democrats,"Inverness, Nairn, Badenoch and Strathspey",1,
Ed Miliband ,@Ed_Miliband ,uk.m.11545,Edward Miliband,Labour,Doncaster North,1,
Ed Vaizey ,@edvaizey ,uk.m.11905,Edward Vaizey,Conservative,Wantage,1,
Edward Argar ,.,.,.,Conservative,Charnwood,1,
Edward Balls,.,uk.m.11740,Edward Balls,,,,1
Edward Garnier ,@EGarnierMP ,uk.m.10221,Edward Garnier,Conservative,Harborough,1,
Edward Leigh ,@EdwardLeighMP ,uk.m.10352,Edward Leigh,Conservative,Gainsborough,1,
Edward Timpson ,@edwardtimpson ,uk.m.14128,Edward Timpson,Conservative,Crewe and Nantwich,1,
Eilidh Whiteford ,@EilidhWhiteford ,.,.,SNP,Banff and Buchan,1,
Eleanor Laing ,@eleanor4epping ,uk.m.10348,Eleanor Laing,Conservative,Epping Forest,1,
Elizabeth Truss ,@trussliz ,uk.m.24941,Elizabeth Truss,Conservative,South West Norfolk,1,
Emily Thornberry ,@EmilyThornberry ,uk.m.11656,Emily Thornberry,Labour,Islington South and Finsbury,1,
Emma Lewell-Buck ,@EmmaLewellBuck ,uk.m.25181,Emma Lewell-Buck,Labour,South Shields,1,
Emma Reynolds ,@EmmaReynoldsMP ,uk.m.24868,Emma Reynolds,Labour,Wolverhampton North East,1,
Eric Illsley,.,uk.m.10305,Eric Illsley,,,,1
Eric Joyce,@ericjoyce,uk.m.10685,Eric Joyce,,,,1
Eric Pickles ,@EricPickles,uk.m.10477,Eric Pickles,Conservative,Brentwood and Ongar,1,
Eric Ollerenshaw,.,uk.m.24967,Eric Ollerenshaw,,,,1
Esther McVey,.,uk.m.24882,Esther McVey,,,,
Fabian Hamilton ,@wfabianmf,uk.m.10256,Fabian Hamilton,Labour,Leeds North East,1,
Fiona Bruce ,.,uk.m.24857,Fiona Bruce,Conservative,Congleton,1,
Fiona Mactaggart ,@fionamacmp ,uk.m.10402,Fiona Mactaggart,Labour,Slough,1,
Fiona O'Donnell,@FOD4SOS,uk.m.24723,Fiona O'Donnell,,,,1
Flick Drummond ,@FlickD,.,.,Independent[a],Portsmouth South,1,
Francis Maude,.,uk.m.10423,Francis Maude,,,,1
Francie Molloy ,@FrancieMolloy ,.,.,Sinn Féin,Mid Ulster,1,
Frank Dobson,.,uk.m.10171,Frank Dobson,,,,
Frank Doran,.,uk.m.10174,Frank Doran,,,,
Frank Field ,@frankfieldteam ,uk.m.10197,Frank Field,Labour,Birkenhead,1,
Frank Roy,.,uk.m.10517,Frank Roy,,,,1
Gareth Johnson ,@GarethJohnsonMP ,uk.m.24803,Gareth Johnson,Conservative,Dartford,1,
Gareth Thomas ,@GarethThomasMP ,uk.m.10594,Gareth Thomas,Labour Co-operative,Harrow West,1,
Gary Streeter ,@garystreetermp,uk.m.10575,Gary Streeter,Conservative,South West Devon,1,
Gavin Barwell ,@GavinBarwellMP ,uk.m.24863,Gavin Barwell,Conservative,Croydon Central,1,
Gavin Newlands ,@GavinNewlandsMP ,.,.,Labour,Paisley and Renfrewshire North,1,
Gavin Robinson ,@GRobinsonDUP ,.,.,Alliance,Belfast East,1,
Gavin Shuker ,@gavinshuker ,uk.m.24847,Gavin Shuker,Labour Co-operative,Luton South,1,
Gavin Williamson ,@GWilliamsonMP ,uk.m.24729,Gavin Williamson,Conservative,South Staffordshire,1,
Gemma Doyle,.,uk.m.24918,Gemma Doyle,,,,1
Geoffrey Clifton-Brown ,.,uk.m.10119,Geoffrey Clifton-Brown,Conservative,The Cotswolds,1,
Geoffrey Cox ,@Geoffrey_Cox ,uk.m.11541,Geoffrey Cox,Conservative,Torridge and West Devon,1,
Geoffrey Robinson ,.,uk.m.10506,Geoffrey Robinson,Labour,Coventry North West,1,
George Eustice ,.,uk.m.24933,George Eustice,Conservative,Camborne and Redruth,1,
George Freeman ,@Freeman_George ,uk.m.24817,George Freeman,Conservative,Mid Norfolk,1,
George Hollingbery ,.,uk.m.24936,George Hollingbery,Conservative,Meon Valley,1,
George Howarth ,.,uk.m.10292,George Howarth,Labour,Knowsley,1,
George Mudie,.,uk.m.10450,George Mudie,,,,1
George Kerevan ,@GeorgeKerevan ,.,.,Labour,East Lothian,1,
George Osborne ,@George_Osborne ,uk.m.11145,George Osborne,Conservative,Tatton,1,
George Young,.,uk.m.10659,George Young,,,,1
Geraint Davies ,@GeraintDaviesMP ,uk.m.10159,Geraint Davies,Labour Co-operative,Swansea West,1,
Gerald Howarth ,@geraldhowarth,uk.m.10293,Gerald Howarth,Conservative,Aldershot,1,
Gerald Jones ,@GeraldJonesLAB ,.,.,Labour,Merthyr Tydfil and Rhymney,1,
Gerald Kaufman ,.,uk.m.10327,Gerald Kaufman,Labour,"Manchester, Gorton",1,
Gerry Sutcliffe,.,uk.m.10579,Gerry Sutcliffe,,,,1
Gisela Stuart ,@GiselaStuart ,uk.m.10577,Gisela Stuart,Labour,"Birmingham, Edgbaston",1,
Glenda Jackson,.,uk.m.10308,Glenda Jackson,,,,
Gloria De Piero ,@GloriaDePiero ,uk.m.24811,Gloria De Piero,Labour,Ashfield,1,
Glyn Davies ,@glyndaviesmp ,uk.m.24739,Glyn Davies,Conservative,Montgomeryshire,1,
Gordon Banks,@mwgbanks,uk.m.12005,Gordon Banks,,,,1
Gordon Brown,@OfficeGSBrown,uk.m.10068,Gordon Brown,,,,1
Gordon Henderson ,.,uk.m.24828,Gordon Henderson,Conservative,Sittingbourne and Sheppey,1,
Gordon Marsden ,@GordonMarsden ,uk.m.10415,Gordon Marsden,Labour,Blackpool South,1,
Graeme Morrice,.,uk.m.24735,Graeme Morrice,,,,1
Graham Allen ,@GrahamAllenMP ,uk.m.10008,Graham Allen,Labour,Nottingham North,1,
Graham Brady ,@Graham__Brady ,uk.m.10062,Graham Brady,Conservative,Altrincham and Sale West,1,
Graham Evans ,@GrahamEvansMP ,uk.m.24883,Graham Evans,Conservative,Weaver Vale,1,
Graham Jones ,@GrahamJones_MP ,uk.m.24835,Graham Jones,Labour,Hyndburn,1,
Graham Stringer ,.,uk.m.10576,Graham Stringer,Labour,Blackley and Broughton,1,
Graham Stuart ,@grahamstuart ,uk.m.11406,Graham Stuart,Conservative,Beverley and Holderness,1,
Grahame Morris ,@grahamemorris ,uk.m.24715,Grahame Morris,Labour,Easington,1,
Grant Shapps ,@grantshapps ,uk.m.11917,Grant Shapps,Conservative,Welwyn Hatfield,1,
Greg Clark ,@gregclarkmp ,uk.m.11884,Greg Clark,Conservative,Tunbridge Wells,1,
Greg Hands ,@GregHands ,uk.m.11610,Greg Hands,Conservative,Chelsea and Fulham,1,
Greg Knight ,@gregknightmp,uk.m.11026,Greg Knight,Conservative,East Yorkshire,1,
Gregg McClymont,@greggmcclymont,uk.m.24733,Gregg McClymont,,,,1
Gregory Barker,@GregBarkerUK,uk.m.10713,Gregory Barker,,,,
Greg Mulholland ,@GregMulholland1,.,.,Liberal Democrats,Leeds North West,1,
Gregory Campbell ,.,.,.,DUP,East Londonderry,1,
Guto Bebb ,@GutoBebb ,uk.m.24736,Guto Bebb,Conservative,Aberconwy,1,
Guy Opperman ,@GuyOpperman ,uk.m.24962,Guy Opperman,Conservative,Hexham,1,
Hannah Bardell ,@HannahB4LiviMP ,.,.,Labour,Livingston,1,
Harriet Baldwin ,@HBaldwinMP ,uk.m.24785,Harriett Baldwin,Conservative,West Worcestershire,1,
Harriet Harman ,@HarrietHarman ,uk.m.10260,Harriet Harman,Labour,Camberwell and Peckham,1,
Harry Harpham ,@Harry4BH ,.,.,Labour,Sheffield Brightside and Hillsborough,1,
Hazel Blears,@HazelBlears2,uk.m.10048,Hazel Blears,,,,1
Heather Wheeler ,@HeatherWheeler ,uk.m.24769,Heather Wheeler,Conservative,South Derbyshire,1,
Heidi Alexander ,@heidi_mp ,uk.m.24953,Heidi Alexander,Labour,Lewisham East,1,
Heidi Allen ,@heidiallen75 ,.,.,Conservative,South Cambridgeshire,1,
Helen Goodman ,@HelenGoodmanMP ,uk.m.11421,Helen Goodman,Labour,Bishop Auckland,1,
Helen Grant ,@HelenGrantMP ,uk.m.24796,Helen Grant,Conservative,Maidstone and The Weald,1,
Helen Hayes ,@helenhayes_ ,.,.,Labour,Dulwich and West Norwood,1,
